Module,SubTopic,Front,Back
LM 1: Ethical Decision-Making,Framework Overview,What are the 4 steps of the Ethical Decision-Making Framework?,Identify -> Consider -> Act -> Reflect
LM 1: Ethical Decision-Making,Framework Overview,What is the primary goal of the 'Reflect' phase?,To learn from the outcome and strengthen future ethical judgment.
LM 1: Ethical Decision-Making,Framework Overview,True or False: The framework is only used for legal compliance.,False - It is for ethical dilemmas where rules may be ambiguous.
LM 1: Ethical Decision-Making,Framework Overview,What does the 'Act' phase include besides making a decision?,Elevating the issue to a supervisor or compliance officer.
LM 1: Ethical Decision-Making,Framework Overview,Why is 'Reflect' often neglected?,Because professionals want to move on quickly after a difficult decision.
LM 1: Ethical Decision-Making,Framework Overview,Does the framework guarantee a positive financial outcome?,No - It guarantees a decision aligned with professional integrity.
LM 1: Ethical Decision-Making,Framework Overview,When should you use the Framework?,When facing a situation with multiple duties or unclear rules (a gray area).
LM 1: Ethical Decision-Making,Framework Overview,Who is the primary beneficiary of the Framework?,The integrity of the capital markets and ultimately the public.
LM 1: Ethical Decision-Making,Framework Overview,Is the framework linear or iterative?,Iterative - You may need to cycle back to 'Identify' as new facts emerge.
LM 1: Ethical Decision-Making,Framework Overview,Can 'Doing Nothing' be an active decision in the framework?,Yes - but it must be a conscious choice based on ethical analysis.
LM 1: Ethical Decision-Making,Identify Phase,What are the three key things to identify in Phase 1?,Facts / Stakeholders / Duties
LM 1: Ethical Decision-Making,Identify Phase,What is a 'Stakeholder'?,Anyone likely to be affected by the decision (client / employer / market / self).
LM 1: Ethical Decision-Making,Identify Phase,What is the 'Blind Spot' risk in this phase?,Failing to see the ethical dimension because of focus on other factors like profit.
LM 1: Ethical Decision-Making,Identify Phase,True or False: You should only identify duties owed to the client.,False - You must also identify duties to the employer / the profession / and the markets.
LM 1: Ethical Decision-Making,Identify Phase,What type of information is crucial to gather here?,Relevant facts and distinguishing facts from assumptions.
LM 1: Ethical Decision-Making,Identify Phase,If a conflict of interest exists when should it be spotted?,Immediately in the Identify phase.
LM 1: Ethical Decision-Making,Identify Phase,What is 'Ethical Framing'?,How a situation is described affects how we handle it.
LM 1: Ethical Decision-Making,Identify Phase,Why map out 'Duties'?,To see if duties to different stakeholders conflict (e.g. Duty to Client vs Duty to Boss).
LM 1: Ethical Decision-Making,Identify Phase,Is legal analysis part of this phase?,Yes - identifying applicable laws and standards is part of 'Facts'.
LM 1: Ethical Decision-Making,Identify Phase,What if facts are missing?,You must identify what you *don't* know and try to find it before moving on.
LM 1: Ethical Decision-Making,Consider Phase,What is the main goal of the Consider phase?,Brainstorm options and identify situational influences
LM 1: Ethical Decision-Making,Consider Phase,What is a Situational Influence?,External factors like bonus pressure or obedience to authority
LM 1: Ethical Decision-Making,Consider Phase,Why seek 'Additional Guidance'?,To get an unbiased opinion from compliance or legal
LM 1: Ethical Decision-Making,Consider Phase,What is the 'Bystander Effect'?,Assuming someone else will report the issue so you do nothing
LM 1: Ethical Decision-Making,Act/Reflect Phase,What does 'Act' include besides deciding?,Elevating the issue to a supervisor
LM 1: Ethical Decision-Making,Act/Reflect Phase,When does 'Reflect' happen?,After the decision and outcome are known
LM 1: Ethical Decision-Making,Act/Reflect Phase,What is the main question in Reflect?,Did the outcome match the ethical intent
Standard I: Professionalism,I(A) Knowledge of the Law,If laws and standards conflict which do you follow?,The Stricter of the two
Standard I: Professionalism,I(A) Knowledge of the Law,What if local law is silent?,Follow CFA Standards
Standard I: Professionalism,I(A) Knowledge of the Law,What is Dissociation?,Resigning or asking to be removed from a violation
Standard I: Professionalism,I(A) Knowledge of the Law,If a client asks for an illegal trade?,Refuse and explain - Dissociate if they persist
Standard I: Professionalism,I(A) Knowledge of the Law,Who is responsible for violations by subordinates?,The supervisor - if they failed to prevent it
Standard I: Professionalism,I(B) Independence & Objectivity,Can you accept gifts from clients?,Yes - if disclosed to employer
Standard I: Professionalism,I(B) Independence & Objectivity,Can you accept gifts from stock issuers?,Ideally No - but modest gifts are okay if disclosed
Standard I: Professionalism,I(B) Independence & Objectivity,Best practice for travel expenses?,Analyst pays their own way
Standard I: Professionalism,I(B) Independence & Objectivity,What is 'Firewall'?,Separation between Investment Banking and Research
Standard I: Professionalism,I(B) Independence & Objectivity,Can you hold stock in companies you cover?,Yes - but it must be disclosed and trading restricted
Standard I: Professionalism,I(C) Misrepresentation,What counts as Plagiarism?,Using work without citing the source
Standard I: Professionalism,I(C) Misrepresentation,Can you guarantee returns?,No - unless the product is truly risk-free like T-Bills
Standard I: Professionalism,I(C) Misrepresentation,What is Cherry Picking?,Showing only best performing accounts
Standard I: Professionalism,I(C) Misrepresentation,Omitting a risk factor is?,Misrepresentation by omission
Standard I: Professionalism,I(D) Misconduct,Does Misconduct apply to private life?,Yes - if it reflects on professional integrity (e.g. fraud)
Standard I: Professionalism,I(D) Misconduct,Is Civil Disobedience (Protest) misconduct?,Generally No
Standard I: Professionalism,I(D) Misconduct,Is drinking at a client lunch misconduct?,Yes - if it leads to embarrassment or breach of confidentiality
Standard II: Integrity of Capital Markets,II(A) Material Nonpublic Info,What is Material Info?,Info that would change the stock price
Standard II: Integrity of Capital Markets,II(A) Material Nonpublic Info,What is Nonpublic Info?,Info not yet released to the general market
Standard II: Integrity of Capital Markets,II(A) Material Nonpublic Info,What is Mosaic Theory?,Combining public info + non-material nonpublic info (Allowed)
Standard II: Integrity of Capital Markets,II(A) Material Nonpublic Info,If you accidentally get MNPI?,Freeze - Do not trade or share it
Standard II: Integrity of Capital Markets,II(B) Market Manipulation,What is Pump and Dump?,Spreading false positive info to sell high
Standard II: Integrity of Capital Markets,II(B) Market Manipulation,What is Wash Trading?,Buying and selling to yourself to fake volume
Standard III: Duties to Clients,III(A) Loyalty Prudence & Care,Who comes first?,Client > Employer > Self
Standard III: Duties to Clients,III(A) Loyalty Prudence & Care,What are Soft Dollars?,Client commissions used to buy research
Standard III: Duties to Clients,III(A) Loyalty Prudence & Care,How should proxies be voted?,To maximize shareowner value
Standard III: Duties to Clients,III(A) Loyalty Prudence & Care,What is Best Execution?,Optimizing price - speed - and cost (not just low comms)
Standard III: Duties to Clients,III(B) Suitability,What document governs suitability?,The IPS (Investment Policy Statement)
Standard III: Duties to Clients,III(B) Suitability,How often should IPS be updated?,Annually or after major life events
Standard III: Duties to Clients,III(B) Suitability,Can you make a high risk trade for a conservative client?,No - unless it hedges overall portfolio risk
Standard III: Duties to Clients,III(B) Suitability,If a client demands an unsuitable trade?,Discuss - Educate - and if necessary separate the account
Standard III: Duties to Clients,III(C) Performance Presentation,Standard for presentation?,Fair - Accurate - and Complete
Standard III: Duties to Clients,III(C) Performance Presentation,Can you show Gross returns?,Yes - if you disclose the fee schedule
Standard III: Duties to Clients,III(C) Performance Presentation,What is a Composite?,Grouping of portfolios with similar strategies
Standard III: Duties to Clients,III(C) Performance Presentation,Can you delete old accounts?,No - terminated accounts must stay in history
Standard III: Duties to Clients,III(D) Confidentiality,Does confidentiality expire?,No - it continues after client leaves or dies
Standard III: Duties to Clients,III(D) Confidentiality,When can you disclose?,If client permits - or Law requires it
Standard III: Duties to Clients,III(D) Confidentiality,Is illegal activity protected?,No - The Standards do not protect crime
Standard IV: Duties to Employers,IV(A) Loyalty,Can you take client lists when you quit?,No - Client lists are firm property
Standard IV: Duties to Employers,IV(A) Loyalty,Is Whistleblowing a violation of Loyalty?,No - Protecting market integrity outweighs employer loyalty
Standard IV: Duties to Employers,IV(A) Loyalty,Can you solicit clients before leaving?,No - You must resign first
Standard IV: Duties to Employers,IV(A) Loyalty,Can you use skills learned at the old job?,Yes - Experience and skills belong to you
Standard IV: Duties to Employers,IV(A) Loyalty,Independent practice (Moonlighting) requires?,Notification and Consent from employer
Standard IV: Duties to Employers,IV(A) Loyalty,Do you need consent for unpaid charity work?,Yes - if it conflicts with time or business interest
Standard IV: Duties to Employers,IV(A) Loyalty,Can you use simple memory to contact clients after leaving?,Yes - provided no written agreement prevents it
Standard IV: Duties to Employers,IV(A) Loyalty,Making preparations to leave (renting space)?,Is allowed while employed
Standard IV: Duties to Employers,IV(A) Loyalty,Can you take models you built?,No - Work product belongs to the firm
Standard IV: Duties to Employers,IV(B) Additional Compensation,What requires Written Consent?,Arrangements for future bonuses or outside work
Standard IV: Duties to Employers,IV(B) Additional Compensation,What requires only Notification?,Gifts received for past performance
Standard IV: Duties to Employers,IV(B) Additional Compensation,Why report additional comp?,To check for divided loyalty or time conflicts
Standard IV: Duties to Employers,IV(B) Additional Compensation,Does 'Compensation' include non-cash?,Yes - Trips - favors - and perks count
Standard IV: Duties to Employers,IV(B) Additional Compensation,If a client gives a bonus who must know?,The Employer
Standard IV: Duties to Employers,IV(B) Additional Compensation,Referral fees received are?,Additional compensation requiring disclosure
Standard IV: Duties to Employers,IV(C) Responsibilities of Supervisors,What if the compliance system is poor?,Decline supervisory responsibility in writing
Standard IV: Duties to Employers,IV(C) Responsibilities of Supervisors,Can you delegate supervision?,Yes - but you retain liability
Standard IV: Duties to Employers,IV(C) Responsibilities of Supervisors,Once a violation is found?,Investigate and limit the employee's activity
Standard IV: Duties to Employers,IV(C) Responsibilities of Supervisors,Is 'I didn't know' a defense?,No - not if you should have known
Standard IV: Duties to Employers,IV(C) Responsibilities of Supervisors,Compliance procedures should be?,Clear - documented - and communicated
Standard IV: Duties to Employers,IV(C) Responsibilities of Supervisors,Do you supervise personal trading?,Yes - to prevent front running
Standard IV: Duties to Employers,IV(C) Responsibilities of Supervisors,Incentive structures should?,Not encourage unethical behavior
Standard V: Investment Analysis,V(A) Diligence & Reasonable Basis,What is Reasonable Basis?,Balance of facts - research - and theory
Standard V: Investment Analysis,V(A) Diligence & Reasonable Basis,Using third-party research?,Requires diligence to verify its soundness
Standard V: Investment Analysis,V(A) Diligence & Reasonable Basis,If you disagree with a group report?,You can sign it if the process was sound
Standard V: Investment Analysis,V(A) Diligence & Reasonable Basis,Top-Down analysis order?,Economy - Sector - Company
Standard V: Investment Analysis,V(A) Diligence & Reasonable Basis,Using a model you don't understand?,Violation of Diligence
Standard V: Investment Analysis,V(A) Diligence & Reasonable Basis,Scenario Analysis is?,Required to understand risks
Standard V: Investment Analysis,V(A) Diligence & Reasonable Basis,Fieldwork (visiting factories)?,Encouraged but not a replacement for financial analysis
Standard V: Investment Analysis,V(A) Diligence & Reasonable Basis,Quant model diligence?,Test data quality and code logic
Standard V: Investment Analysis,V(B) Communication,Must distinguish between?,Fact and Opinion
Standard V: Investment Analysis,V(B) Communication,If the investment process changes?,Notify clients promptly
Standard V: Investment Analysis,V(B) Communication,Listing risks?,Must include key risks like liquidity and credit
Standard V: Investment Analysis,V(B) Communication,Can you say 'Guaranteed'?,Only for truly risk-free assets
Standard V: Investment Analysis,V(B) Communication,Can reports be brief?,Yes - if full data is available on request
Standard V: Investment Analysis,V(B) Communication,Updates should be?,Frequent enough to be useful
Standard V: Investment Analysis,V(B) Communication,Social media posts?,Are communications and must comply
Standard V: Investment Analysis,V(B) Communication,Backtested data?,Must be labeled as hypothetical
Standard V: Investment Analysis,V(C) Record Retention,Who owns the records?,The Firm
Standard V: Investment Analysis,V(C) Record Retention,How long to keep records?,7 years (recommended by CFA)
Standard V: Investment Analysis,V(C) Record Retention,If local law says 5 years?,Keep 7 (Stricter Standard)
Standard V: Investment Analysis,V(C) Record Retention,If a client leaves?,Keep records for the statutory period
Standard V: Investment Analysis,V(C) Record Retention,Personal notes?,Keep if they support the final decision
Standard V: Investment Analysis,V(C) Record Retention,Digital records?,Allowed if backed up and retrievable
Standard V: Investment Analysis,V(C) Record Retention,Can you destroy records if client asks?,No
Standard VI: Conflicts of Interest,VI(A) Disclosure of Conflicts,What makes a conflict?,Anything that impairs objectivity
Standard VI: Conflicts of Interest,VI(A) Disclosure of Conflicts,Disclosure must be?,Prominent and in plain language
Standard VI: Conflicts of Interest,VI(A) Disclosure of Conflicts,Who gets disclosure?,Clients - Prospects - and Employer
Standard VI: Conflicts of Interest,VI(A) Disclosure of Conflicts,Board service?,Must be disclosed
Standard VI: Conflicts of Interest,VI(A) Disclosure of Conflicts,Owning stock you cover?,Must be disclosed
Standard VI: Conflicts of Interest,VI(A) Disclosure of Conflicts,If a conflict can't be managed?,Abstain from the duty
Standard VI: Conflicts of Interest,VI(A) Disclosure of Conflicts,Beneficial ownership?,Includes spouse and dependent children
Standard VI: Conflicts of Interest,VI(B) Priority of Transactions,The Priority Order?,Client > Employer > Self
Standard VI: Conflicts of Interest,VI(B) Priority of Transactions,What is Front Running?,Trading for self before client impact
Standard VI: Conflicts of Interest,VI(B) Priority of Transactions,What is a Blackout Period?,No trading before/after a recommendation
Standard VI: Conflicts of Interest,VI(B) Priority of Transactions,Family accounts (Fee paying)?,Treat as Client (Equal priority)
Standard VI: Conflicts of Interest,VI(B) Priority of Transactions,Family accounts (Beneficial)?,Treat as Self (Last priority)
Standard VI: Conflicts of Interest,VI(B) Priority of Transactions,IPOs?,Personal participation generally restricted
Standard VI: Conflicts of Interest,VI(B) Priority of Transactions,Private Placements?,Strict review and disclosure required
Standard VI: Conflicts of Interest,VI(C) Referral Fees,Disclosure of fees paid?,Required before entry into agreement
Standard VI: Conflicts of Interest,VI(C) Referral Fees,Disclosure of fees received?,Required before recommendation
Standard VI: Conflicts of Interest,VI(C) Referral Fees,Includes?,Cash - Soft Dollars - and Cross-Referrals
Standard VI: Conflicts of Interest,VI(C) Referral Fees,Purpose of disclosure?,To evaluate partiality of the advice
Standard VI: Conflicts of Interest,VI(C) Referral Fees,Internal referral fees?,Must be disclosed
Standard VII: Responsibility as CFA,VII(A) Conduct in Program,Discussing specific exam questions?,Violation - Confidential information
Standard VII: Responsibility as CFA,VII(A) Conduct in Program,Cheating?,Violation of VII(A) and I(D)
Standard VII: Responsibility as CFA,VII(A) Conduct in Program,Discussing broad topics?,Allowed
Standard VII: Responsibility as CFA,VII(A) Conduct in Program,Expressing opinion on difficulty?,Allowed
Standard VII: Responsibility as CFA,VII(A) Conduct in Program,Using unapproved calculator?,Violation
Standard VII: Responsibility as CFA,VII(A) Conduct in Program,Ignoring a proctor?,Violation
Standard VII: Responsibility as CFA,VII(A) Conduct in Program,Falsifying experience on app?,Violation
Standard VII: Responsibility as CFA,VII(B) Reference to CFA Institute,Correct usage?,Jane Doe - CFA (Adjective)
Standard VII: Responsibility as CFA,VII(B) Reference to CFA Institute,Incorrect usage?,Jane Doe is a CFA (Noun)
Standard VII: Responsibility as CFA,VII(B) Reference to CFA Institute,Can you exaggerate?,No - don't claim it guarantees performance
Standard VII: Responsibility as CFA,VII(B) Reference to CFA Institute,Logo usage?,Must not be larger than your name
Standard VII: Responsibility as CFA,VII(B) Reference to CFA Institute,If dues are unpaid?,Stop using the designation
Standard VII: Responsibility as CFA,VII(B) Reference to CFA Institute,Retired status?,Does not exist - use nothing
Standard VII: Responsibility as CFA,VII(B) Reference to CFA Institute,Level 1 Candidate?,Can say 'Passed Level 1' - not 'Level 1 CFA'
Global Investment Performance Standards (GIPS),GIPS Fundamentals,Compliance is?,Voluntary
Global Investment Performance Standards (GIPS),GIPS Fundamentals,Who claims compliance?,The Firm (defined broadly)
Global Investment Performance Standards (GIPS),GIPS Fundamentals,Partial compliance?,Prohibited - All or nothing
Global Investment Performance Standards (GIPS),GIPS Fundamentals,If law conflicts with GIPS?,Follow Law and Disclose conflict
Global Investment Performance Standards (GIPS),GIPS Fundamentals,Verification?,Recommended but not required
Global Investment Performance Standards (GIPS),GIPS Composite Construction,What goes in a composite?,All actual fee-paying discretionary portfolios
Global Investment Performance Standards (GIPS),GIPS Composite Construction,Can you cherry pick?,No - composites prevent this
Global Investment Performance Standards (GIPS),GIPS Composite Construction,Non-discretionary accounts?,Excluded from composites
Global Investment Performance Standards (GIPS),GIPS Composite Construction,Terminated accounts?,Must stay in historical performance
Global Investment Performance Standards (GIPS),GIPS Composite Construction,Carve-outs?,Must have own cash balance to be included
Global Investment Performance Standards (GIPS),GIPS Presentation & Reporting,Minimum history?,5 years (or since inception) building to 10
Global Investment Performance Standards (GIPS),GIPS Presentation & Reporting,Total Firm Assets?,Must be disclosed annually
Global Investment Performance Standards (GIPS),GIPS Presentation & Reporting,Currency?,Must be disclosed
Global Investment Performance Standards (GIPS),GIPS Presentation & Reporting,Gross returns?,Allowed if fee schedule is disclosed
Global Investment Performance Standards (GIPS),GIPS Presentation & Reporting,List of composites?,Must be provided on request
